,URL,NameResort,Stars,Km Freeride
111,http://www.skiresort.info/ski-resort/hochkoenig-maria-almdientenmuehlbach/, Hochkönig – Maria Alm/Dienten/Mühlbach,4,8.0
112,http://www.skiresort.info/ski-resort/first-grindelwald/, First – Grindelwald,4,4.0
113,http://www.skiresort.info/ski-resort/katschberg/, Katschberg,4,2.0
114,http://www.skiresort.info/ski-resort/saas-fee/, Saas-Fee,4,5.0
115,http://www.skiresort.info/ski-resort/auron-saint-etienne-de-tinee/, Auron (Saint-Etienne-de-Tinée),4,0.0
116,http://www.skiresort.info/ski-resort/isola-2000/, Isola 2000,4,0.0
117,http://www.skiresort.info/ski-resort/weissee-gletscherwelt-uttendorf/, Weissee Gletscherwelt – Uttendorf,4,2.0
118,http://www.skiresort.info/ski-resort/grossarltaldorfgastein/, Großarltal/Dorfgastein,4,9.7
119,http://www.skiresort.info/ski-resort/ankogel-mallnitz/, Ankogel – Mallnitz,4,0.0
120,http://www.skiresort.info/ski-resort/meiringen-hasliberg/, Meiringen-Hasliberg,4,0.0
121,http://www.skiresort.info/ski-resort/schladming-planaihochwurzenhauser-kaiblingreiteralm-4-berge-skischaukel/, Schladming – Planai/​Hochwurzen/​Hauser Kaibling/​Reiteralm (4-Berge-Skischaukel),4,4.0
122,http://www.skiresort.info/ski-resort/riesneralm-donnersbachwald/, Riesneralm – Donnersbachwald,4,0.0
123,http://www.skiresort.info/ski-resort/rifflsee/, Rifflsee,4,0.0
124,http://www.skiresort.info/ski-resort/passo-san-pellegrinofalcade/, Passo San Pellegrino/Falcade,4,1.5
125,http://www.skiresort.info/ski-resort/hochzeiger-jerzens/, Hochzeiger – Jerzens,4,8.0
126,http://www.skiresort.info/ski-resort/kronplatz-plan-de-corones/, Kronplatz (Plan de Corones),4,0.0
127,http://www.skiresort.info/ski-resort/moelltal-glacier-moelltaler-gletscher/, Moelltal Glacier (Mölltaler Gletscher),4,6.7
128,http://www.skiresort.info/ski-resort/kvitfjell/, Kvitfjell,4,0.0
129,http://www.skiresort.info/ski-resort/gaustablikk-rjukan/, Gaustablikk – Rjukan,4,2.0
130,http://www.skiresort.info/ski-resort/aare/, Åre,4,0.0
131,http://www.skiresort.info/ski-resort/dachstein-west-gosaurussbachannaberg/, Dachstein West – Gosau/Russbach/Annaberg,4,4.0
132,http://www.skiresort.info/ski-resort/buerchentoerbel-moosalp/, Bürchen/Törbel – Moosalp,4,0.0
133,http://www.skiresort.info/ski-resort/kasprowy-wierch-zakopane/, Kasprowy Wierch – Zakopane,4,0.0
134,http://www.skiresort.info/ski-resort/rosa-khutor/, Rosa Khutor,4,0.0
135,http://www.skiresort.info/ski-resort/spluegen-tambo/, Splügen – Tambo,4,0.0
136,http://www.skiresort.info/ski-resort/vals-3000-dachberg/, Vals 3000 – Dachberg,4,0.0
137,http://www.skiresort.info/ski-resort/val-senales-glacier-schnalstaler-gletscher/, Val Senales Glacier (Schnalstaler Gletscher),4,0.0
